content,contentlink,actor,grade,peoplenum,instruct,picture
玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯,['https://movie.douban.com/subject/3072124/'],导演:AdamElliot   主演:托妮·科莱特ToniCollette/菲利普·塞默·霍...2009 / 澳大利亚 / 剧情爱情动画,['8.9'],['209222人评价'],['你是我最好的朋友，你是我唯一的朋友 。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg']
饮食男女 / 飲食男女 / Eat Drink Man Woman,['https://movie.douban.com/subject/1291818/'],导演:李安AngLee   主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...1994 / 台湾美国 / 剧情家庭,['8.9'],['142948人评价'],['人生不能像做菜，把所有的料都准备好了才下锅。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg']
上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),['https://movie.douban.com/subject/1292208/'],导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...2002 / 巴西法国 / 犯罪剧情,['8.9'],['134934人评价'],['被上帝抛弃了的上帝之城。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg']
一一 / Yi yi  /  Yi yi: A One and a Two,['https://movie.douban.com/subject/1292434/'],导演:杨德昌   主演:吴念真/李凯莉KellyLee/金燕玲ElaineJin2000 / 台湾日本 / 剧情爱情家庭,['8.9'],['127130人评价'],['我们都曾经是一一。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg']
虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),['https://movie.douban.com/subject/1296909/'],导演:GérardOury   主演:路易·德·菲耐斯LouisdeFunès/布尔维尔B...1966 / 法国英国 / 喜剧战争,['8.9'],['92066人评价'],['永远看不腻的喜剧。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2173634628.jpg']
雨中曲 / Singin' in the Rain / 雨中情  /  万花嬉春,['https://movie.douban.com/subject/1293460/'],导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...1952 / 美国 / 喜剧歌舞爱情,['8.9'],['76284人评价'],['骨灰级歌舞片。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1612355875.jpg']
小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台) ,['https://movie.douban.com/subject/25814705/'],导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...2014 / 日本 / 剧情,['8.9'],['83277人评价'],没有简介,['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221319641.jpg']
勇士 / Warrior / 勇者无敌(台)  /  钢铁斗士(港),['https://movie.douban.com/subject/3217169/'],导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·...2011 / 美国 / 剧情运动家庭,['8.9'],['73817人评价'],['热血沸腾，相当完美的娱乐拳击大餐。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1145536386.jpg']
与狼共舞 / Dances with Wolves / 与狼共舞,['https://movie.douban.com/subject/1293764/'],导演:KevinCostner   主演:KevinCostner/MaryMcDonnell/GrahamGreene1990 / 美国 / 冒险剧情西部,['8.9'],['49103人评价'],['充满诗意与情怀的史诗作品。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p499158228.jpg']
V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),['https://movie.douban.com/subject/1309046/'],导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔丽·波曼NataliePortm...2005 / 美国英国德国 / 剧情动作科幻惊悚,['8.8'],['347093人评价'],['一张面具背后的理想与革命。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg']
哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,['https://movie.douban.com/subject/1308807/'],导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...2004 / 日本 / 爱情动画奇幻冒险,['8.8'],['288617人评价'],['带着心爱的人在天空飞翔。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg']
情书 / Love Letter / When I Close My Eyes  /  Letters of Love,['https://movie.douban.com/subject/1292220/'],导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/酒井美纪Mik...1995 / 日本 / 剧情爱情,['8.8'],['309126人评价'],['暗恋的极致。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg']
勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),['https://movie.douban.com/subject/1294639/'],导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...1995 / 美国 / 动作传记剧情历史战争,['8.8'],['259798人评价'],['史诗大片的典范。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg']
致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),['https://movie.douban.com/subject/1780330/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2006 / 美国英国 / 剧情悬疑惊悚,['8.8'],['288637人评价'],['孪生蝙蝠侠大战克隆金刚狼。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg']
狮子王 / The Lion King / 狮子王3D,['https://movie.douban.com/subject/1301753/'],导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...1994 / 美国 / 剧情动画冒险歌舞家庭,['8.8'],['240618人评价'],['动物版《哈姆雷特》。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p722758217.jpg']
入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),['https://movie.douban.com/subject/2149806/'],导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...2008 / 日本 / 剧情,['8.8'],['279907人评价'],['死可能是一道门，逝去并不是终结，而是超越，走向下一程。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg']
拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),['https://movie.douban.com/subject/1292849/'],导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...1998 / 美国 / 剧情历史战争,['8.8'],['192545人评价'],['美利坚精神输出大片No1.'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg']
幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,['https://movie.douban.com/subject/1297359/'],导演:宫崎骏   主演:松田洋治/石田百合子/田中裕子1997 / 日本 / 动画冒险奇幻,['8.8'],['197470人评价'],['人与自然的战争史诗。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg']
第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,['https://movie.douban.com/subject/1297630/'],导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...1999 / 美国 / 剧情悬疑恐怖,['8.8'],['195161人评价'],['深入内心的恐怖，出人意料的结局。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg']
阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,['https://movie.douban.com/subject/4917726/'],导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011 / 韩国 / 剧情喜剧,['8.8'],['223290人评价'],['再多各自牛逼的时光，也比不上一起傻逼的岁月。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg']
风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,['https://movie.douban.com/subject/1291585/'],导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/京田尚子H...1984 / 日本 / 科幻动画奇幻冒险,['8.8'],['148129人评价'],['动画片的圣经。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1917567652.jpg']
侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,['https://movie.douban.com/subject/1297052/'],导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...1995 / 日本 / 剧情爱情动画音乐,['8.8'],['137340人评价'],['少女情怀总是诗。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456692072.jpg']
燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),['https://movie.douban.com/subject/1295865/'],导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...1994 / 美国 / 剧情爱情西部家庭,['8.8'],['132122人评价'],['传奇，不是每个人都可以拥有。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1023654037.jpg']
疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,['https://movie.douban.com/subject/1907966/'],导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...2013 / 美国 / 喜剧动画冒险,['8.8'],['321394人评价'],['老少皆宜，这就是好莱坞动画的魅力。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1867084027.jpg']
魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,['https://movie.douban.com/subject/1293964/'],导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson1940 / 美国 / 剧情战争爱情,['8.8'],['112114人评价'],['中国式内在的美国电影。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2351134499.jpg']
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,['https://movie.douban.com/subject/3008247/'],导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...2008 / 英国美国 / 剧情战争,['8.8'],['105442人评价'],['尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1473670352.jpg']
卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),['https://movie.douban.com/subject/1291822/'],导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...2004 / 英国南非意大利美国 / 剧情历史战争,['8.8'],['96300人评价'],['当这个世界闭上双眼，他却敞开了怀抱。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2159368352.jpg']
我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),['https://movie.douban.com/subject/1306861/'],导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...2001 / 美国 / 剧情家庭,['8.8'],['85024人评价'],['爱并不需要智商 。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p652417775.jpg']
玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3,['https://movie.douban.com/subject/1858711/'],导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...2010 / 美国 / 喜剧动画奇幻冒险,['8.8'],['169534人评价'],['跨度十五年的欢乐与泪水。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1283675359.jpg']
红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡,['https://movie.douban.com/subject/1865703/'],导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...2006 / 日本 / 动画悬疑科幻惊悚,['8.8'],['93511人评价'],['梦的勾结。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p672363704.jpg']
萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,['https://movie.douban.com/subject/5989818/'],导演:大森贵弘TakahiroOmori   主演:佐仓绫音/内山昂辉KokiUchiyama2011 / 日本 / 剧情爱情动画奇幻,['8.8'],['121277人评价'],['触不到的恋人。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1272904657.jpg']
地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的,['https://movie.douban.com/subject/2363506/'],导演:阿米尔·汗AamirKhan/阿莫尔·古普特AmoleGupte   主演:达席尔...2007 / 印度 / 剧情儿童家庭,['8.8'],['63017人评价'],['天使保护事件始末。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1973489335.jpg']
惊魂记 / Psycho / 精神病患者  /  触目惊心,['https://movie.douban.com/subject/1293181/'],导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles1960 / 美国 / 悬疑恐怖,['8.8'],['63693人评价'],['故事的反转与反转，分裂电影的始祖。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1021883305.jpg']
哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,['https://movie.douban.com/subject/1307315/'],导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖/邱岳峰...1979 / 中国 / 冒险动画奇幻,['8.8'],['64570人评价'],['想你时你在闹海。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2163636038.jpg']
寿司之神 / Jiro Dreams of Sushi / 次郎的寿司梦  /  梦见寿司的次郎,['https://movie.douban.com/subject/6146955/'],导演:大卫·贾柏DavidGelb   主演:小野二郎JiroOno/小野祯一Yoshik...2011 / 美国 / 纪录片,['8.8'],['64624人评价'],['仪式主义的狂欢，偏执狂的完胜。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1528763106.jpg']
天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,['https://movie.douban.com/subject/1292215/'],导演:Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTautou/马修·卡索...2001 / 法国德国 / 喜剧爱情,['8.7'],['422916人评价'],['法式小清新。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg']
七宗罪 / Se7en / 火线追缉令  /  7宗罪,['https://movie.douban.com/subject/1292223/'],导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...1995 / 美国 / 剧情犯罪悬疑惊悚,['8.7'],['379809人评价'],['警察抓小偷，老鼠玩死猫。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg']
剪刀手爱德华 / Edward Scissorhands / 幻海奇缘  /  剪刀手爱德华,['https://movie.douban.com/subject/1292370/'],导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...1990 / 美国 / 剧情奇幻爱情,['8.7'],['419475人评价'],['浪漫忧郁的成人童话。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg']
低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),['https://movie.douban.com/subject/1291832/'],导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...1994 / 美国 / 剧情犯罪,['8.7'],['277801人评价'],['故事的高级讲法。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg']
蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,['https://movie.douban.com/subject/1292343/'],导演:埃里克.布雷斯EricBress/J.MackyeGruber   主演:阿什顿·库彻A...2004 / 美国加拿大 / 剧情悬疑科幻惊悚,['8.7'],['329230人评价'],['人的命运被自己瞬间的抉择改变。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p793653648.jpg']
沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,['https://movie.douban.com/subject/1293544/'],导演:JonathanDemme   主演:JodieFoster/AnthonyHopkins/ScottGlenn1991 / 美国 / 剧情犯罪惊悚,['8.7'],['295715人评价'],['安东尼·霍普金斯的顶级表演。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg']
本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,['https://movie.douban.com/subject/1485260/'],导演:大卫·芬奇DavidFincher   主演:布拉德·皮特BradPitt/凯特·布...2008 / 美国 / 剧情爱情奇幻,['8.7'],['341763人评价'],['在时间之河里感受溺水之苦。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2192535722.jpg']
黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),['https://movie.douban.com/subject/1291843/'],导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...1999 / 美国澳大利亚 / 动作科幻,['8.7'],['235343人评价'],['视觉革命。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg']
大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),['https://movie.douban.com/subject/1291545/'],导演:TimBurton   主演:EwanMcGregor/AlbertFinney/BillyCrudup2003 / 美国 / 剧情家庭奇幻冒险,['8.7'],['211917人评价'],['抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg']
心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,['https://movie.douban.com/subject/1292656/'],导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...1997 / 美国 / 剧情,['8.7'],['221095人评价'],['人生中应该拥有这样的一段豁然开朗。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg']
让子弹飞 / 让子弹飞一会儿  /  火烧云,['https://movie.douban.com/subject/3742360/'],导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010 / 中国大陆香港 / 剧情喜剧动作西部,['8.7'],['545797人评价'],['你给我翻译翻译，神马叫做TMD的惊喜。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg']
阳光灿烂的日子 / In the Heat of the Sun,['https://movie.douban.com/subject/1291875/'],导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994 / 中国大陆香港 / 剧情,['8.7'],['227353人评价'],['一场华丽的意淫。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg']
射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),['https://movie.douban.com/subject/1316510/'],导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993 / 香港 / 喜剧古装,['8.7'],['230401人评价'],['百看不厌。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg']
萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,['https://movie.douban.com/subject/1293318/'],导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子1988 / 日本 / 动画剧情战争,['8.7'],['174539人评价'],['幸福是生生不息，却难以触及的远。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1157334208.jpg']
春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,['https://movie.douban.com/subject/1292679/'],导演:王家卫   主演:梁朝伟/张国荣/张震1997 / 香港日本韩国 / 剧情爱情同性,['8.7'],['193227人评价'],['爱情纠缠，男女一致。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg']
甜蜜蜜 / Comrades: Almost a Love Story,['https://movie.douban.com/subject/1305164/'],导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...1996 / 香港 / 剧情爱情,['8.7'],['194839人评价'],['逢只要一瞬间，等待却像是一辈子。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg']
爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),['https://movie.douban.com/subject/1296339/'],导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...1995 / 美国奥地利瑞士 / 剧情爱情,['8.7'],['179822人评价'],['缘分是个连绵词，最美不过一瞬。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1486234122.jpg']
爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),['https://movie.douban.com/subject/1291990/'],导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...2004 / 美国 / 剧情爱情,['8.7'],['167615人评价'],['九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910924055.jpg']
驯龙高手 / How to Train Your Dragon / 驯龙记(港),['https://movie.douban.com/subject/2353023/'],导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...2010 / 美国 / 喜剧动画奇幻冒险家庭,['8.7'],['242142人评价'],['和谐的生活离不开摸头与被摸头。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p450042258.jpg']
超脱 / Detachment / 人间师格(台),['https://movie.douban.com/subject/5322596/'],导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/克里...2011 / 美国 / 剧情,['8.7'],['139957人评价'],['穷尽一生，我们要学会的，不过是彼此拥抱。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1305562621.jpg']
布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),['https://movie.douban.com/subject/11525673/'],导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...2014 / 美国德国英国 / 剧情喜剧,['8.7'],['241511人评价'],['小清新的故事里注入了大历史的情怀。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2178872593.jpg']
菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天,['https://movie.douban.com/subject/1293359/'],导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...1999 / 日本 / 剧情喜剧,['8.7'],['145459人评价'],['从没见过那么流氓的温柔，从没见过那么温柔的流氓。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p751835224.jpg']
借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),['https://movie.douban.com/subject/4202302/'],导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...2010 / 日本 / 动画奇幻冒险,['8.7'],['183364人评价'],['曾经的那段美好会沉淀为一辈子的记忆。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p617533616.jpg']
谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),['https://movie.douban.com/subject/1578507/'],导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...2007 / 美国德国 / 动作悬疑冒险,['8.7'],['146423人评价'],['像吃了苏打饼一样干脆的电影。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792223507.jpg']
末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),['https://movie.douban.com/subject/1293172/'],导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...1987 / 意大利中国大陆英国法国 / 剧情传记历史,['8.7'],['123572人评价'],['“不要跟我比惨，我比你更惨”再适合这部电影不过了。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452088641.jpg']
教父3 / The Godfather: Part III / 教父第三集  /  教父 III,['https://movie.douban.com/subject/1294240/'],导演:FrancisFordCoppola   主演:阿尔·帕西诺AlPacino/黛安·基顿D...1990 / 美国 / 剧情犯罪,['8.7'],['106658人评价'],['任何信念的力量，都无法改变命运。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2169664351.jpg']
英雄本色 / A Better Tomorrow  /  Gangland Boss,['https://movie.douban.com/subject/1297574/'],导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...1986 / 香港 / 动作犯罪,['8.7'],['117842人评价'],['英雄泪短，兄弟情长。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2157672975.jpg']
消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,['https://movie.douban.com/subject/21318488/'],导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...2014 / 美国 / 剧情犯罪悬疑惊悚,['8.7'],['276746人评价'],没有简介,['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2221768894.jpg']
纵横四海 / 緃横四海 / Once a Thief,['https://movie.douban.com/subject/1295409/'],导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...1991 / 香港 / 剧情喜剧动作犯罪,['8.7'],['113887人评价'],['香港浪漫主义警匪动作片的巅峰之作。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p933122297.jpg']
碧海蓝天 / Le grand bleu / 碧海情深  /  夜海倾情,['https://movie.douban.com/subject/1300960/'],导演:LucBesson   主演:Jean-MarcBarr/JeanReno/RosannaArquette1988 / 法国美国意大利 / 剧情爱情,['8.7'],['97253人评价'],['在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p455724599.jpg']
浪潮 / Die Welle / 恶魔教室(台)  /  白恤暴潮(港),['https://movie.douban.com/subject/2297265/'],导演:丹尼斯·甘塞尔DennisGansel   主演:约根·沃格尔JürgenVogel/...2008 / 德国 / 剧情,['8.7'],['104514人评价'],['世界离独裁只有五天。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1344888983.jpg']
恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),['https://movie.douban.com/subject/21360417/'],导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013 / 韩国 / 剧情犯罪悬疑,['8.7'],['150694人评价'],['恐怖分子的“秋菊打官司”。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2016930906.jpg']
喜宴 / The Wedding Banquet,['https://movie.douban.com/subject/1303037/'],导演:李安   主演:赵文瑄/归亚蕾/金素梅1993 / 台湾美国 / 剧情喜剧爱情同性家庭,['8.7'],['105387人评价'],['中国家庭的喜怒哀乐忍。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173713676.jpg']
梦之安魂曲 / Requiem for a Dream / 噩梦挽歌(台)  /  迷上瘾(港),['https://movie.douban.com/subject/1292270/'],导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur...2000 / 美国 / 剧情,['8.7'],['89195人评价'],['一场没有春天的噩梦。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p884936202.jpg']
罗生门 / 羅生門 / Rashomon,['https://movie.douban.com/subject/1291879/'],导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/千秋实...1950 / 日本 / 犯罪剧情悬疑,['8.7'],['98038人评价'],['人生的N种可能性。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1864872647.jpg']
一次别离 / جدایی نادر از سیمین / 分居风暴(台)  /  伊朗式分居(港),['https://movie.douban.com/subject/5964718/'],导演:阿斯哈·法哈蒂AsgharFarhadi   主演:蕾拉·哈塔米LeilaHatami/...2011 / 伊朗 / 剧情家庭,['8.7'],['108725人评价'],['只有有信仰的人才能说出事实真相。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189835254.jpg']
绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,['https://movie.douban.com/subject/1300374/'],导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...1999 / 美国 / 犯罪剧情奇幻悬疑,['8.7'],['87626人评价'],['天使暂时离开。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p767586451.jpg']
